Equipo ID,Estudiante ID,Nota Estudiante,Rol Dominante,Coordinador,Investigador de Recursos,Trabajador,Monitor Evaluador,Impulsor,Finalizador,Especialista,Cohesionador,Creativo
102,0,4.8,Impulsor,10.0,2.0,8.0,8.0,11.0,11.0,6.0,7.0,5.0
187,1,0.0,Trabajador,7.0,7.0,13.0,7.0,8.0,8.0,7.0,3.0,9.0
455,2,4.4,Especialista,4.0,5.0,5.0,10.0,7.0,6.0,12.0,9.0,8.0
8,3,4.7,Coordinador,17.0,4.0,3.0,9.0,5.0,9.0,5.0,10.0,6.0
173,4,3.3,Investigador de Recursos,7.0,13.0,10.0,9.0,6.0,5.0,7.0,6.0,5.0
372,5,2.7,Impulsor,5.0,4.0,6.0,5.0,16.0,9.0,6.0,6.0,12.0
356,6,2.8,Creativo,3.0,3.0,10.0,6.0,10.0,9.0,7.0,5.0,12.0
90,7,2.1,Impulsor,6.0,9.0,4.0,7.0,10.0,7.0,10.0,9.0,7.0
373,8,2.3,Finalizador,7.0,9.0,3.0,7.0,6.0,14.0,13.0,7.0,4.0
33,9,1.2,Coordinador,11.0,4.0,3.0,9.0,9.0,10.0,10.0,8.0,5.0
12,10,3.4,Finalizador,4.0,4.0,11.0,3.0,5.0,12.0,11.0,12.0,2.0
272,11,2.5,Monitor Evaluador,8.0,7.0,6.0,9.0,8.0,8.0,7.0,8.0,7.0
135,12,2.9,Finalizador,7.0,4.0,10.0,9.0,8.0,13.0,6.0,7.0,8.0
149,13,4.4,Creativo,8.0,6.0,4.0,9.0,6.0,9.0,9.0,9.0,10.0
284,14,1.5,Investigador de Recursos,8.0,15.0,7.0,5.0,7.0,6.0,6.0,7.0,7.0
226,15,1.8,Trabajador,9.0,9.0,13.0,8.0,6.0,8.0,5.0,4.0,7.0
107,16,1.1,Investigador de Recursos,2.0,13.0,7.0,9.0,4.0,11.0,7.0,3.0,8.0
240,17,0.0,Trabajador,10.0,11.0,12.0,5.0,5.0,6.0,10.0,3.0,10.0
159,18,3.2,Coordinador,12.0,4.0,10.0,5.0,8.0,5.0,6.0,10.0,8.0
261,19,1.8,Coordinador,12.0,7.0,7.0,8.0,6.0,8.0,6.0,6.0,9.0
102,20,2.4,Especialista,4.0,7.0,4.0,9.0,7.0,6.0,15.0,11.0,7.0
65,21,0.9,Monitor Evaluador,6.0,9.0,5.0,17.0,6.0,7.0,3.0,10.0,7.0
58,22,0.0,Creativo,5.0,10.0,7.0,7.0,10.0,9.0,6.0,6.0,12.0
142,23,1.9,Coordinador,10.0,3.0,5.0,6.0,8.0,9.0,10.0,9.0,9.0
172,24,2.7,Especialista,6.0,11.0,6.0,5.0,7.0,8.0,12.0,7.0,7.0
380,25,1.6,Finalizador,2.0,13.0,6.0,5.0,6.0,17.0,5.0,7.0,9.0
162,26,3.7,Impulsor,2.0,12.0,6.0,11.0,17.0,4.0,2.0,8.0,7.0
85,27,4.7,Impulsor,11.0,8.0,7.0,3.0,12.0,4.0,6.0,9.0,8.0
498,28,4.1,Creativo,6.0,7.0,7.0,9.0,9.0,5.0,5.0,5.0,12.0
94,29,3.0,Trabajador,4.0,8.0,13.0,8.0,6.0,6.0,10.0,5.0,9.0
402,30,1.4,Creativo,10.0,9.0,6.0,4.0,5.0,7.0,9.0,7.0,11.0
219,31,4.9,Especialista,8.0,4.0,10.0,9.0,6.0,8.0,16.0,4.0,4.0
242,32,4.4,Creativo,8.0,5.0,2.0,10.0,9.0,10.0,7.0,5.0,13.0
222,33,0.0,Creativo,9.0,4.0,11.0,2.0,6.0,6.0,8.0,6.0,13.0
442,34,2.2,Especialista,4.0,6.0,7.0,7.0,13.0,7.0,15.0,3.0,6.0
331,35,1.3,Coordinador,12.0,3.0,6.0,9.0,5.0,8.0,10.0,7.0,6.0
444,36,1.9,Monitor Evaluador,5.0,9.0,10.0,13.0,9.0,9.0,4.0,2.0,6.0
312,37,1.2,Creativo,4.0,5.0,7.0,3.0,11.0,8.0,9.0,10.0,13.0
138,38,4.6,Coordinador,9.0,9.0,8.0,7.0,5.0,8.0,8.0,5.0,9.0
207,39,3.8,Finalizador,5.0,7.0,7.0,12.0,11.0,13.0,5.0,8.0,4.0
30,40,0.2,Investigador de Recursos,8.0,11.0,7.0,9.0,7.0,6.0,6.0,2.0,10.0
100,41,1.7,Finalizador,7.0,3.0,10.0,10.0,4.0,12.0,11.0,4.0,6.0
152,42,2.3,Investigador de Recursos,4.0,13.0,10.0,6.0,3.0,5.0,4.0,8.0,13.0
201,43,2.6,Cohesionador,2.0,4.0,11.0,6.0,9.0,4.0,8.0,13.0,8.0
326,44,0.0,Finalizador,5.0,6.0,7.0,8.0,8.0,15.0,7.0,4.0,5.0
248,45,3.4,Creativo,6.0,3.0,8.0,5.0,9.0,8.0,5.0,9.0,11.0
108,46,2.1,Trabajador,8.0,7.0,10.0,6.0,9.0,6.0,9.0,4.0,7.0
